title,artist,genre,mood,energy,tempo,era
Blinding Lights,The Weeknd,pop,happy,high,fast,2020s
Shake It Off,Taylor Swift,pop,happy,high,fast,2010s
Smells Like Teen Spirit,Nirvana,rock,angry,high,fast,1990s
Bohemian Rhapsody,Queen,rock,melancholic,medium,mid,1980s
Reptilia,The Strokes,indie,angry,high,fast,2000s
Skinny Love,Bon Iver,indie,melancholic,low,slow,2000s
Lose Yourself,Eminem,hiphop,angry,high,fast,2000s
Juicy,The Notorious B.I.G.,hiphop,happy,medium,mid,1990s
One More Time,Daft Punk,edm,happy,high,fast,2000s
Strobe,Deadmau5,edm,chill,medium,mid,2000s
Take Five,Dave Brubeck,jazz,chill,low,mid,2010s
So What,Miles Davis,jazz,melancholic,low,mid,2010s
No Scrubs,TLC,rnb,happy,medium,mid,1990s
Earned It,The Weeknd,rnb,romantic,medium,slow,2010s
Billie Jean,Michael Jackson,pop,romantic,high,fast,1980s
Someone Like You,Adele,pop,sad,low,slow,2010s
California Love,2Pac,hiphop,happy,high,fast,1990s
Midnight City,M83,indie,chill,high,fast,2010s
Bad Guy,Billie Eilish,indie,angry,medium,mid,2010s
Uptown Funk,Bruno Mars,pop,happy,high,fast,2010s
